# Scholarly publications on artificial intelligence
# total: annual count of AI publications; per_million: same, per million population
# Original source: Stanford AI Index Report, via Our World in Data
# Compiled by Muhammad Ikram, https://drmuhammadikram.com/data/ai-research/
# Free to use. Please cite the original source and this compilation.
iso_numeric,country,year,total,per_million
096,Brunei,2018,15.0,34.261
096,Brunei,2019,28.0,63.25
096,Brunei,2020,35.0,78.228
096,Brunei,2021,54.0,119.543
096,Brunei,2022,96.0,210.816
096,Brunei,2023,129.0,281.071
096,Brunei,2024,106.0,229.073
100,Bulgaria,2016,140.0,19.642
100,Bulgaria,2017,165.0,23.319
100,Bulgaria,2018,223.0,31.745
100,Bulgaria,2019,292.0,41.861
100,Bulgaria,2020,285.0,41.104
100,Bulgaria,2021,349.0,50.747
100,Bulgaria,2022,351.0,51.422
100,Bulgaria,2023,453.0,66.659
100,Bulgaria,2024,476.0,70.438
104,Myanmar,2016,19.0,0.369
104,Myanmar,2017,46.0,0.886
104,Myanmar,2018,104.0,1.99
104,Myanmar,2019,134.0,2.546
104,Myanmar,2020,136.0,2.565
104,Myanmar,2021,54.0,1.011
104,Myanmar,2022,26.0,0.484
104,Myanmar,2023,72.0,1.33
104,Myanmar,2024,102.0,1.872
108,Burundi,2018,2.0,0.169
108,Burundi,2019,11.0,0.898
108,Burundi,2020,2.0,0.159
108,Burundi,2021,6.0,0.463
108,Burundi,2022,2.0,0.15
108,Burundi,2023,10.0,0.73
108,Burundi,2024,1.0,0.071
112,Belarus,2016,76.0,8.001
112,Belarus,2017,54.0,5.687
112,Belarus,2018,62.0,6.54
112,Belarus,2019,101.0,10.704
112,Belarus,2020,94.0,10.052
112,Belarus,2021,98.0,10.593
112,Belarus,2022,103.0,11.228
112,Belarus,2023,111.0,12.177
112,Belarus,2024,112.0,12.367
116,Cambodia,2016,6.0,0.378
116,Cambodia,2017,4.0,0.249
116,Cambodia,2018,12.0,0.737
116,Cambodia,2019,9.0,0.546
116,Cambodia,2020,12.0,0.717
116,Cambodia,2021,18.0,1.06
116,Cambodia,2022,28.0,1.628
116,Cambodia,2023,34.0,1.951
116,Cambodia,2024,43.0,2.438
120,Cameroon,2016,11.0,0.469
120,Cameroon,2017,22.0,0.912
120,Cameroon,2018,24.0,0.967
120,Cameroon,2019,37.0,1.451
120,Cameroon,2020,57.0,2.175
120,Cameroon,2021,60.0,2.229
120,Cameroon,2022,63.0,2.28
120,Cameroon,2023,93.0,3.278
120,Cameroon,2024,116.0,3.983
124,Canada,2016,3550.0,97.653
124,Canada,2017,3879.0,105.383
124,Canada,2018,4641.0,124.44
124,Canada,2019,5989.0,158.511
124,Canada,2020,7456.0,195.327
124,Canada,2021,8703.0,226.322
124,Canada,2022,7786.0,200.56
124,Canada,2023,9083.0,231.125
124,Canada,2024,8444.0,212.468
132,Cape Verde,2017,3.0,5.849
132,Cape Verde,2018,2.0,3.895
132,Cape Verde,2019,1.0,1.945
132,Cape Verde,2024,3.0,5.716
144,Sri Lanka,2016,125.0,5.705
144,Sri Lanka,2017,179.0,8.104
144,Sri Lanka,2018,249.0,11.189
144,Sri Lanka,2019,291.0,12.985
144,Sri Lanka,2020,424.0,18.793
144,Sri Lanka,2021,566.0,24.934
144,Sri Lanka,2022,556.0,24.349
144,Sri Lanka,2023,590.0,25.684
144,Sri Lanka,2024,637.0,27.572
148,Chad,2017,1.0,0.064
148,Chad,2021,2.0,0.112
148,Chad,2022,1.0,0.054
148,Chad,2023,5.0,0.259
148,Chad,2024,6.0,0.296
152,Chile,2016,252.0,13.795
152,Chile,2017,244.0,13.147
152,Chile,2018,298.0,15.773
152,Chile,2019,342.0,17.815
152,Chile,2020,417.0,21.527
152,Chile,2021,522.0,26.829
152,Chile,2022,459.0,23.475
152,Chile,2023,552.0,28.079
152,Chile,2024,577.0,29.193
156,China,2016,21986.0,15.659
156,China,2017,26614.0,18.844
156,China,2018,35864.0,25.274
156,China,2019,47618.0,33.451
156,China,2020,55081.0,38.623
156,China,2021,71746.0,50.297
156,China,2022,82350.0,57.782
156,China,2023,104198.0,73.246
156,China,2024,116434.0,82.035
158,Taiwan,2016,1578.0,66.904
158,Taiwan,2017,1647.0,69.691
158,Taiwan,2018,1987.0,83.984
158,Taiwan,2019,2622.0,110.754
158,Taiwan,2020,3086.0,130.412
158,Taiwan,2021,3672.0,155.868
158,Taiwan,2022,3779.0,161.357
158,Taiwan,2023,4098.0,175.75
158,Taiwan,2024,4012.0,172.827
170,Colombia,2016,413.0,8.706
170,Colombia,2017,495.0,10.284
170,Colombia,2018,588.0,11.994
170,Colombia,2019,672.0,13.465
170,Colombia,2020,780.0,15.406
170,Colombia,2021,794.0,15.511
170,Colombia,2022,601.0,11.616
170,Colombia,2023,722.0,13.799
170,Colombia,2024,685.0,12.952
174,Comoros,2023,5.0,5.88
174,Comoros,2024,8.0,9.231
178,Congo,2016,2.0,0.383
178,Congo,2017,4.0,0.748
178,Congo,2018,6.0,1.094
178,Congo,2019,4.0,0.712
178,Congo,2020,5.0,0.869
178,Congo,2021,19.0,3.225
178,Congo,2022,16.0,2.651
178,Congo,2023,39.0,6.308
178,Congo,2024,41.0,6.474
188,Costa Rica,2016,23.0,4.726
188,Costa Rica,2017,23.0,4.681
188,Costa Rica,2018,48.0,9.682
188,Costa Rica,2019,58.0,11.601
188,Costa Rica,2020,57.0,11.322
188,Costa Rica,2021,55.0,10.87
188,Costa Rica,2022,58.0,11.413
